,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.9611051,1.521604071820205,30.61978614069079
3,0.97161764,1.1815580335606046,49804.192599370144
4,0.98000956,0.3252462211426835,137048.7803324596
5,0.96021247,1.4427983211023698,105500.09786714627
6,0.88260543,2.343761071899929,85112.60925692221
7,0.8803155,2.1928090517704413,71144.92309533604
8,0.76333827,2.391971615212049,61636.51838997119
9,0.69021946,2.406499820516479,54085.57051583759
10,0.7125776,2.366415937322101,48550.02459051353
11,0.7657409,2.1779303848251845,43954.326406772634
12,0.68950206,2.0651778292862164,40775.94540601132
13,0.6201777,2.196491778134544,36972.982571198285
14,0.6606586,2.279624085295296,34036.84686157051
15,0.6686341,2.112437571334059,31715.625550904286
16,0.5072459,2.172541287364305,29748.396408968467
17,0.53716123,2.0813732230866653,58823.50146417709
18,0.46831813,2.2849407013142757,26691.58707342864
19,0.5114571,2.022301830859403,25661.016860371714
20,0.32172105,2.4507467036397874,23550.01276602824
